sc.1,sc.2,sc.3,sc.4,connect,efficacy,support,press,stress,depression,dep_risk,gender,race,grade,family
2,2,3,2,9,43,13,20,2,0,Low,Male,White,     9,Both
3,3,3,2,11,50,17,36,0,0,Low,Female,White,    10,Both
3,2,3,1,9,36,8,14,20,0,Low,Female,White,    12,One
3,3,3,3,12,47,17,25,8,2,Low,Female,Other,    12,Both
3,3,2,2,10,34,11,30,26,2,Low,Male,Other,     9,One
3,3,2,2,10,43,11,26,11,2,Low,Male,White,     9,One
3,4,3,4,14,49,20,21,9,2,Low,Male,White,    12,Both
3,3,3,3,12,48,13,36,10,2,Low,Male,White,    12,One
4,3,4,3,14,46,15,17,31,2,Low,Female,White,    10,Both
4,3,4,2,13,43,16,30,30,2,Low,Male,White,    10,Both
4,4,4,4,16,49,18,34,7,3,Low,Female,Other,    10,Both
4,3,2,3,12,42,11,30,15,3,Low,Female,White,    10,One
3,3,2,3,11,41,14,26,2,3,Low,Female,White,    10,Both
3,3,3,3,12,37,15,31,5,3,Low,Male,White,     9,One
4,1,1,1,7,22,4,8,12,3,Low,Male,Other,     9,Both
3,3,3,3,12,34,16,28,33,3,Low,Male,White,    10,Both
2,2,2,3,9,34,20,20,17,3,Low,Female,White,    12,Both
3,3,3,3,12,40,9,23,7,3,Low,Female,White,    12,One
4,4,4,4,16,50,15,29,8,3,Low,Male,White,    12,Both
2,1,3,2,8,40,13,25,9,3,Low,Male,White,     9,Both
3,3,3,3,12,43,17,30,13,3,Low,Female,White,    11,One
3,3,3,3,12,40,19,32,16,3,Low,Male,White,    12,Both
1,1,1,1,4,29,15,12,6,3,Low,Female,Other,     9,Both
3,2,2,3,10,38,7,21,34,3,Low,Female,Other,    10,One
3,3,3,4,13,46,18,33,17,4,Low,Female,White,    10,Both
2,2,3,3,10,37,14,30,16,4,Low,Female,White,     9,Both
3,3,3,3,12,48,17,28,23,4,Low,Male,White,     9,Both
4,3,4,3,14,46,22,33,6,4,Low,Male,White,    10,Both
3,3,3,3,12,42,13,30,6,4,Low,Female,White,    10,Both
3,3,4,3,13,45,13,35,0,4,Low,Male,Other,    12,Both
4,3,4,3,14,47,17,32,0,4,Low,Male,White,    11,One
3,3,3,2,11,47,17,33,2,4,Low,Male,Other,    10,Both
3,3,3,3,12,45,12,36,15,4,Low,Female,White,    11,Both
4,3,3,3,13,41,19,32,13,4,Low,Female,White,    12,One
3,3,3,3,12,43,19,27,10,4,Low,Female,White,    10,One
3,4,3,4,14,45,13,25,26,5,Low,Male,Other,     9,One
3,4,3,3,13,41,13,28,5,5,Low,Male,Other,     9,One
2,3,3,2,10,40,14,16,22,5,Low,Female,White,    12,Both
3,3,3,3,12,42,12,30,21,5,Low,Female,Other,    10,Both
2,2,3,2,9,46,13,24,16,5,Low,Female,White,     9,Both
3,4,4,4,15,49,12,37,1,5,Low,Male,White,    10,Both
2,3,3,2,10,40,12,24,7,5,Low,Female,White,     9,Both
3,3,3,3,12,43,16,31,7,5,Low,Male,White,    10,One
3,3,3,2,11,41,17,29,13,5,Low,Male,Other,     9,Both
4,4,4,4,16,36,11,24,28,5,Low,Male,Other,    12,Both
3,3,2,3,11,43,12,26,17,5,Low,Male,Other,     9,Both
4,2,4,2,12,41,19,27,15,5,Low,Female,White,    10,Both
2,2,1,1,6,42,17,25,22,5,Low,Male,White,     9,Both
3,3,3,3,12,35,15,28,22,5,Low,Male,White,     9,One
3,3,3,3,12,44,17,37,15,6,Low,Female,White,    10,Both
4,3,3,2,12,37,11,30,26,6,Low,Male,Other,    10,One
3,2,2,2,9,39,19,25,6,6,Low,Male,White,     9,Both
3,3,2,3,11,35,11,26,17,6,Low,Female,White,    11,Both
3,3,3,2,11,41,12,25,29,6,Low,Female,Other,    10,One
3,3,3,3,12,44,13,23,20,6,Low,Male,White,    11,Both
3,3,3,3,12,38,11,22,19,6,Low,Male,Other,     9,Both
4,3,4,1,12,32,10,25,31,6,Low,Male,White,    11,One
4,4,4,4,16,48,12,27,22,6,Low,Female,White,    12,Both
3,3,3,4,13,42,15,26,12,6,Low,Male,White,    12,Both
2,3,1,2,8,27,5,18,22,6,Low,Male,Other,     9,One
3,3,3,3,12,40,10,33,28,6,Low,Male,White,    10,One
2,4,3,4,13,37,9,24,13,6,Low,Male,White,     9,Both
3,3,2,3,11,43,10,30,9,7,Low,Male,White,     9,One
3,3,3,3,12,39,13,29,14,7,Low,Male,White,    11,Both
4,3,2,3,12,46,15,30,26,7,Low,Female,Other,     9,Both
2,2,1,2,7,37,17,28,26,7,Low,Female,White,    10,Both
3,3,3,3,12,40,8,31,3,7,Low,Female,White,    11,One
3,3,2,3,11,40,15,27,21,7,Low,Male,White,    10,Both
3,4,2,2,11,42,17,24,16,7,Low,Female,White,     9,One
3,2,3,4,12,34,10,30,27,7,Low,Male,Other,    11,Both
3,3,3,3,12,40,17,27,22,7,Low,Female,White,    12,Both
3,3,4,3,13,45,16,32,20,7,Low,Female,Other,    12,Both
3,2,3,3,11,36,12,24,18,7,Low,Female,Other,    11,One
2,1,2,2,7,30,10,23,22,7,Low,Male,White,    10,Both
3,3,3,3,12,40,11,28,14,7,Low,Male,White,    11,Both
3,3,3,3,12,37,13,27,21,7,Low,Female,Other,    11,One
3,3,3,3,12,38,11,28,17,7,Low,Male,Other,     9,Both
3,3,3,3,12,44,20,27,20,7,Low,Female,Other,    12,One
4,3,3,2,12,44,14,27,43,7,Low,Male,White,    10,Both
3,2,3,1,9,33,5,27,13,7,Low,Male,White,     9,Both
3,3,3,3,12,36,13,30,30,7,Low,Male,Other,    11,One
3,1,3,2,9,37,11,15,9,7,Low,Male,White,    10,Both
3,4,4,2,13,41,11,30,22,8,Low,Male,White,     9,Both
3,3,4,3,13,47,12,30,2,8,Low,Male,White,     9,One
3,2,3,3,11,38,6,24,19,8,Low,Male,White,     9,Both
3,2,3,4,12,46,12,26,11,8,Low,Female,White,     9,Both
3,3,3,3,12,40,14,27,3,8,Low,Female,Other,     9,Both
3,3,3,3,12,39,13,26,25,8,Low,Female,White,     9,One
2,3,2,3,10,40,6,27,12,8,Low,Male,White,    11,One
3,3,3,3,12,40,8,25,18,8,Low,Female,White,    11,One
3,3,3,3,12,40,16,31,27,8,Low,Female,White,     9,One
2,2,3,3,10,45,13,22,33,8,Low,Female,White,    12,One
3,3,3,3,12,43,16,32,11,9,Low,Male,White,     9,Both
3,3,2,1,9,43,4,33,3,9,Low,Male,Other,    10,One
2,3,2,3,10,31,14,29,24,9,Low,Male,White,     9,One
1,3,2,3,9,29,3,26,0,9,Low,Male,White,     9,Both
1,1,1,3,6,27,11,23,30,9,Low,Male,White,    10,Both
2,3,1,2,8,35,11,23,5,9,Low,Male,White,    10,Both
3,4,3,4,14,49,9,29,5,9,Low,Male,White,    11,Both
4,3,3,3,13,42,13,31,20,9,Low,Male,White,    10,One
3,1,1,1,6,18,14,11,20,9,Low,Female,Other,     9,Other
3,3,3,3,12,38,14,32,15,9,Low,Male,Other,     9,Both
4,3,4,4,15,47,18,32,16,9,Low,Female,White,    12,Both
3,3,3,2,11,40,9,33,25,9,Low,Female,Other,    12,One
2,3,3,2,10,43,13,30,25,9,Low,Male,Other,    10,One
2,3,3,3,11,44,9,35,9,9,Low,Male,White,    10,Both
4,3,3,3,13,39,11,18,13,9,Low,Male,White,    11,One
3,3,3,3,12,40,16,22,18,9,Low,Female,White,    11,Both
4,4,4,4,16,47,18,40,27,9,Low,Female,Other,    11,One
3,3,3,2,11,47,16,27,18,9,Low,Female,White,    10,Both
4,4,4,4,16,49,16,37,12,9,Low,Male,White,     9,One
2,2,2,2,8,33,9,26,27,9,Low,Male,White,    12,Other
3,3,3,3,12,35,10,26,24,9,Low,Male,Other,    10,One
2,1,1,2,6,42,3,23,4,10,Low,Male,Other,    10,One
4,3,4,3,14,40,10,24,11,10,Low,Female,White,     9,One
3,3,3,3,12,32,7,24,11,10,Low,Male,White,    10,One
3,3,4,2,12,43,3,36,0,10,Low,Male,White,     9,Both
4,3,3,3,13,40,13,27,24,10,Low,Female,Other,     9,One
3,2,2,2,9,42,17,27,32,10,Low,Female,White,    10,One
3,3,3,2,11,50,19,30,13,10,Low,Female,White,     9,Both
2,3,2,3,10,37,11,24,25,10,Low,Female,Other,    10,One
3,4,4,3,14,41,14,31,4,10,Low,Female,White,    10,One
4,3,3,3,13,43,9,25,17,10,Low,Male,White,    11,One
2,1,1,1,5,37,8,22,22,10,Low,Male,White,    10,Both
3,4,3,3,13,32,9,30,8,10,Low,Male,White,     9,One
4,4,4,3,15,44,14,35,8,10,Low,Female,Other,     9,One
3,3,3,3,12,34,11,24,25,10,Low,Female,Other,    12,Other
4,4,4,4,16,48,15,38,22,10,Low,Female,White,    12,Both
4,4,4,4,16,41,17,32,19,10,Low,Female,White,    10,Both
2,2,2,1,7,37,14,27,27,10,Low,Male,Other,    11,Both
3,3,3,2,11,42,12,19,15,10,Low,Male,White,     9,Both
3,3,3,3,12,40,10,23,34,10,Low,Female,White,     9,Both
3,3,3,3,12,40,10,23,34,10,Low,Female,White,     9,Both
3,3,3,3,12,42,16,27,19,11,Low,Male,White,    10,Both
4,4,4,3,15,50,15,40,11,11,Low,Female,White,     9,One
3,3,3,3,12,41,15,36,12,11,Low,Female,White,    11,Both
3,3,2,3,11,45,13,34,29,11,Low,Male,White,    10,One
3,3,3,4,13,41,12,36,18,11,Low,Female,White,     9,Both
3,2,2,2,9,38,2,14,22,11,Low,Male,Other,    12,One
2,2,2,2,8,39,13,26,17,11,Low,Female,White,    12,One
2,3,2,2,9,41,12,29,30,11,Low,Male,White,    12,Both
2,1,2,2,7,41,13,16,10,11,Low,Male,White,    12,Both
1,2,2,1,6,29,14,12,36,11,Low,Female,White,    12,One
3,3,3,3,12,37,13,29,19,11,Low,Female,White,     9,One
3,3,3,3,12,43,11,27,17,11,Low,Female,Other,    11,One
4,3,4,3,14,47,15,33,21,11,Low,Male,White,    10,One
3,3,3,2,11,30,13,18,34,11,Low,Female,White,    11,Both
3,4,3,3,13,38,16,32,12,12,Low,Male,White,    10,Both
3,3,3,2,11,43,16,30,27,12,Low,Male,Other,     9,Both
3,2,2,2,9,37,5,24,20,12,Low,Male,Other,    10,Both
2,2,3,2,9,39,10,28,0,12,Low,Male,Other,    10,Other
2,2,2,2,8,30,0,24,30,12,Low,Male,White,    12,One
3,3,3,3,12,40,10,32,30,12,Low,Female,White,     9,One
2,3,3,3,11,36,10,25,16,12,Low,Male,White,     9,Both
3,3,3,3,12,41,12,35,23,12,Low,Female,White,    10,Both
2,3,2,3,10,39,2,29,15,12,Low,Male,White,     9,Both
2,2,2,2,8,26,6,23,32,12,Low,Female,Other,     9,Both
3,3,2,3,11,47,13,31,19,12,Low,Female,Other,     9,One
3,3,3,3,12,45,14,29,20,12,Low,Female,White,     9,One
3,2,2,2,9,30,0,32,10,12,Low,Male,Other,    11,One
3,2,3,1,9,27,14,11,34,12,Low,Male,White,    11,Both
3,2,2,2,9,38,20,23,0,12,Low,Male,White,    11,Both
2,3,3,3,11,40,7,25,14,12,Low,Female,White,    10,Both
3,3,3,3,12,38,16,34,13,12,Low,Male,Other,     9,One
3,3,2,3,11,31,8,20,37,12,Low,Male,White,    10,Both
3,3,3,2,11,33,5,21,26,12,Low,Male,White,     9,One
2,2,2,3,9,34,8,26,28,12,Low,Female,Other,    11,One
3,3,3,3,12,16,13,33,28,12,Low,Female,White,    10,Both
2,3,2,2,9,32,12,20,12,12,Low,Female,White,    11,One
3,3,3,3,12,45,8,34,8,12,Low,Male,Other,     9,One
2,2,2,1,7,27,3,13,14,12,Low,Male,Other,    11,Both
3,2,2,2,9,28,12,12,20,12,Low,Female,White,    11,Both
3,3,3,3,12,41,14,29,34,12,Low,Male,White,    10,Both
1,1,1,1,4,30,9,8,50,12,Low,Male,Other,    11,One
3,2,2,2,9,23,10,24,22,12,Low,Male,White,    12,Both
3,3,2,3,11,36,9,29,30,12,Low,Male,White,     9,One
3,4,4,4,15,50,22,40,0,13,Low,Male,Other,     9,Both
3,3,2,3,11,31,15,21,28,13,Low,Male,White,     9,Both
3,4,3,4,14,37,9,27,18,13,Low,Male,Other,    10,One
3,2,3,3,11,39,15,29,31,13,Low,Female,White,    10,Both
1,2,1,1,5,35,7,23,28,13,Low,Male,White,    11,Both
3,3,3,3,12,42,15,35,11,13,Low,Male,White,     9,Both
3,1,1,1,6,32,10,24,10,13,Low,Female,White,    10,Both
3,3,3,3,12,38,14,27,7,13,Low,Male,White,     9,One
1,1,1,1,4,30,9,19,36,13,Low,Female,White,     9,Both
2,3,2,2,9,24,5,16,21,13,Low,Male,Other,     9,One
4,3,3,3,13,41,18,20,14,13,Low,Female,White,    10,One
3,2,3,3,11,34,10,32,27,13,Low,Female,Other,    10,One
3,4,4,4,15,50,18,38,24,13,Low,Male,White,    10,Both
4,3,4,4,15,42,13,29,37,13,Low,Female,White,    12,Both
4,4,4,4,16,47,19,37,18,13,Low,Male,Other,    10,One
2,1,2,3,8,25,3,16,5,13,Low,Male,Other,    12,Both
2,3,2,3,10,50,20,38,13,13,Low,Female,White,    11,One
3,3,3,2,11,42,4,23,17,13,Low,Male,White,    11,One
3,2,3,1,9,39,15,24,21,13,Low,Female,White,     9,One
3,3,3,3,12,39,10,25,34,13,Low,Female,Other,    12,One
3,3,4,3,13,39,8,30,35,13,Low,Male,Other,     9,Both
3,3,3,3,12,37,14,25,29,13,Low,Male,White,    12,Both
3,3,3,3,12,39,10,22,32,13,Low,Male,White,    12,Both
3,3,3,3,12,40,18,23,20,13,Low,Female,Other,    11,One
2,3,3,3,11,31,9,26,2,14,Low,Female,White,    10,Both
3,3,3,3,12,36,7,31,26,14,Low,Female,White,    10,Both
3,3,3,3,12,46,15,31,5,14,Low,Female,White,     9,One
3,3,2,1,9,40,11,30,27,14,Low,Female,White,     9,Both
1,2,2,2,7,41,17,24,17,14,Low,Female,White,    11,One
4,3,3,3,13,43,20,35,22,14,Low,Female,White,    11,One
1,1,1,1,4,36,5,21,21,14,Low,Female,Other,    10,One
3,3,3,2,11,42,7,24,15,14,Low,Female,White,    12,Both
3,3,3,2,11,43,15,29,39,14,Low,Female,Other,    12,One
2,2,2,3,9,31,12,27,25,14,Low,Male,White,    11,Both
2,3,3,3,11,42,16,31,44,14,Low,Male,Other,    12,Other
3,4,4,3,14,48,18,31,26,14,Low,Male,Other,     9,One
4,4,4,4,16,47,19,38,12,15,Low,Male,White,     9,Both
4,4,3,3,14,43,5,26,32,15,Low,Male,White,     9,Both
4,3,3,3,13,42,18,23,18,15,Low,Male,White,     9,Both
3,3,3,3,12,44,14,31,15,15,Low,Female,White,    11,Both
3,3,3,3,12,36,12,32,9,15,Low,Female,White,     9,Both
4,3,3,3,13,42,13,19,20,15,Low,Female,White,    11,Both
2,2,2,2,8,44,9,22,34,15,Low,Female,Other,    12,One
3,4,2,3,12,43,13,32,29,15,Low,Male,White,     9,Both
3,3,3,2,11,36,3,15,10,15,Low,Female,White,    11,One
3,2,2,1,8,42,16,23,13,15,Low,Male,Other,    10,Both
3,1,1,2,7,35,12,14,23,15,Low,Female,White,    12,Both
4,3,2,1,10,27,12,14,21,15,Low,Male,White,     9,One
2,2,2,2,8,28,6,25,27,15,Low,Male,White,     9,Both
3,2,3,3,11,45,16,24,29,15,Low,Female,White,    12,One
3,3,2,2,10,39,18,28,35,15,Low,Male,Other,    11,One
3,3,3,3,12,43,13,32,50,15,Low,Male,Other,    12,One
3,3,2,3,11,42,9,29,17,16,Low,Male,White,     9,Both
2,2,2,2,8,29,7,19,23,16,Low,Male,White,    11,Other
1,3,4,3,11,38,17,31,0,16,Low,Male,White,    10,One
3,3,2,3,11,42,14,31,17,16,Low,Male,White,     9,One
2,3,3,3,11,36,10,28,5,16,Low,Female,Other,     9,One
3,3,2,2,10,43,15,27,40,16,Low,Female,White,     9,One
3,3,3,3,12,39,13,24,19,16,Low,Female,White,    11,Other
4,3,3,3,13,41,12,30,21,16,Low,Male,Other,    11,One
2,3,2,3,10,34,12,25,35,16,Low,Male,Other,     9,One
3,3,3,3,12,42,12,30,26,16,Low,Male,White,    10,Both
3,3,3,3,12,36,12,24,28,16,Low,Female,White,    10,One
3,3,2,3,11,43,9,24,51,16,Low,Male,White,     9,One
3,2,3,3,11,37,14,25,17,16,Low,Female,White,     9,One
3,3,3,3,12,38,17,29,29,16,Low,Male,Other,    12,One
4,3,4,3,14,37,13,28,19,16,Low,Female,White,    12,Both
3,1,2,2,8,36,11,23,24,16,Low,Male,Other,    10,One
3,2,2,3,10,27,8,22,10,16,Low,Male,Other,    11,Other
3,3,3,2,11,38,18,22,34,16,Low,Male,White,    10,One
3,2,3,1,9,29,9,21,41,16,Low,Female,Other,    10,One
3,3,3,2,11,39,22,30,22,16,Low,Male,White,    11,One
3,2,3,3,11,41,20,26,17,16,Low,Female,Other,    12,One
4,3,2,1,10,41,6,19,38,16,Low,Male,White,    10,Both
4,3,3,3,13,39,0,25,26,16,Low,Female,Other,    10,One
1,1,1,2,5,40,13,30,20,16,Low,Male,White,    11,One
3,3,3,3,12,32,10,26,40,16,Low,Female,White,    10,Both
4,2,4,3,13,35,13,15,16,17,Low,Male,White,    12,One
3,3,2,1,9,43,6,27,28,17,Low,Female,Other,    11,One
3,3,2,3,11,42,13,27,30,17,Low,Male,Other,    11,One
4,4,4,3,15,40,15,30,37,17,Low,Female,White,    11,Both
3,2,2,2,9,33,6,19,28,17,Low,Female,White,     9,Both
3,3,3,2,11,45,17,30,29,17,Low,Female,White,     9,Both
3,3,3,2,11,45,17,30,29,17,Low,Female,White,     9,Both
3,3,3,2,11,40,14,28,22,17,Low,Female,White,    10,One
4,1,2,1,8,34,19,22,35,17,Low,Female,White,    10,Both
3,3,3,3,12,27,13,25,35,17,Low,Female,White,    12,One
1,2,2,1,6,34,9,24,33,17,Low,Female,White,    10,Both
3,4,3,3,13,41,15,30,28,17,Low,Female,Other,    12,One
2,1,1,2,6,27,10,23,28,17,Low,Male,White,    12,One
3,3,3,3,12,37,10,20,30,17,Low,Female,White,    12,One
3,3,2,2,10,41,5,20,31,17,Low,Male,Other,     9,One
2,1,3,3,9,29,9,16,26,17,Low,Female,White,    12,One
3,3,3,3,12,50,16,31,24,17,Low,Female,White,    11,One
3,1,1,1,6,37,7,13,34,17,Low,Male,White,    10,Both
2,1,1,1,5,32,14,17,42,17,Low,Female,White,    12,One
3,3,3,2,11,44,17,30,29,18,Low,Male,White,     9,Both
4,3,3,3,13,42,11,35,11,18,Low,Female,White,    11,Both
2,2,3,2,9,42,10,24,27,18,Low,Male,White,    12,Both
3,3,3,3,12,44,13,26,18,18,Low,Female,Other,    11,One
